length_bucket,genre,wiki_title,raw_word_count,cleaned_word_count,pct_removed,start_marker_found,end_marker_found,manual_review_flags,path
10k,adventure,Queen of the Black Coast,14826,11581,21.89,True,True,,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/10k/adventure/queen_of_the_black_coast
10k,drama,Cavalleria rusticana,13500,5315,60.63,True,True,pct_removed > 25%,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/10k/drama/cavalleria_rusticana
10k,fantasy,The Canterville Ghost,15046,11483,23.68,True,True,,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/10k/fantasy/the_canterville_ghost
10k,historical,The Inca of Perusalem,11584,7978,31.13,True,True,pct_removed > 25%,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/10k/historical/the_inca_of_perusalem
10k,mystery_crime,The Adventure of the Devil's Foot,13278,10085,24.05,True,True,,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/10k/mystery_crime/the_adventure_of_the_devil_s_foot
10k,romance,How He Lied to Her Husband,11956,6944,41.92,True,True,pct_removed > 25%,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/10k/romance/how_he_lied_to_her_husband
10k,sci_fi,A Martian Odyssey,13890,10660,23.25,True,True,,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/10k/sci_fi/a_martian_odyssey
15k,adventure,The Secret Sharer,20098,16932,15.75,True,True,,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/15k/adventure/the_secret_sharer
15k,drama,Life in the Iron Mills,18432,15230,17.37,True,True,,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/15k/drama/life_in_the_iron_mills
15k,fantasy,Peter Pan in Kensington Gardens,19287,16090,16.58,True,True,,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/15k/fantasy/peter_pan_in_kensington_gardens
15k,historical,The Frogs,18107,14517,19.83,True,True,,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/15k/historical/the_frogs
15k,mystery_crime,The Black Cat (short story),17314,13378,22.73,True,True,,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/15k/mystery_crime/the_black_cat
15k,romance,The New Paul and Virginia,18634,13574,27.15,True,True,pct_removed > 25%,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/15k/romance/the_new_paul_and_virginia
15k,sci_fi,Second Variety,18813,15534,17.43,True,True,,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/15k/sci_fi/second_variety
5k,adventure,The Hunting of the Snark,8474,4522,46.64,True,True,pct_removed > 25%,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/5k/adventure/the_hunting_of_the_snark
5k,drama,The Yellow Wallpaper,9404,6244,33.6,True,True,pct_removed > 25%,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/5k/drama/the_yellow_wallpaper
5k,fantasy,The Witch of Atlas,8702,5504,36.75,True,True,pct_removed > 25%,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/5k/fantasy/the_witch_of_atlas
5k,historical,Apocolocyntosis,8783,5080,42.16,True,True,pct_removed > 25%,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/5k/historical/apocolocyntosis
5k,mystery_crime,The Adventure of the Dying Detective,9079,5891,35.11,True,True,pct_removed > 25%,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/5k/mystery_crime/the_adventure_of_the_dying_detective
5k,romance,Chitra (play),9616,5910,38.54,True,True,pct_removed > 25%,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/5k/romance/chitra
5k,sci_fi,A Pail of Air,9202,5991,34.89,True,True,pct_removed > 25%,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/5k/sci_fi/a_pail_of_air
