length_bucket,genre,wiki_title,document_id,narrativeqa_set,kind,story_word_count_narrativeqa,cleaned_word_count,story_url,downloaded_url,download_status,relative_dir
5k,drama,The Yellow Wallpaper,ceb53c6e5f1f89d2f4d43a0d9fa53af7734fa1d4,train,gutenberg,10348,6251,http://www.gutenberg.org/ebooks/1952.txt.utf-8,https://www.gutenberg.org/ebooks/1952.txt.utf-8,ok,new_synthetic_results/5k/drama/the_yellow_wallpaper
5k,mystery_crime,The Adventure of the Dying Detective,09333c7d604bd412e6aef5d3e56b046ed301c5e5,test,gutenberg,10162,5911,http://www.gutenberg.org/ebooks/2347.txt.utf-8,https://www.gutenberg.org/ebooks/2347.txt.utf-8,ok,new_synthetic_results/5k/mystery_crime/the_adventure_of_the_dying_detective
5k,historical,Apocolocyntosis,36f289475bb4ac89b368e999a9e911affcd070bf,train,gutenberg,10152,5629,http://www.gutenberg.org/ebooks/10001.txt.utf-8,https://www.gutenberg.org/ebooks/10001.txt.utf-8,ok,new_synthetic_results/5k/historical/apocolocyntosis
5k,romance,Chitra (play),e7598e595c6dd58166b88f92a5723e63f3d93b78,train,gutenberg,10594,6450,http://www.gutenberg.org/ebooks/2502.txt.utf-8,https://www.gutenberg.org/ebooks/2502.txt.utf-8,ok,new_synthetic_results/5k/romance/chitra
5k,adventure,The Hunting of the Snark,a50e0b16f4c85587a6c89476c2f9f3ced9f4480c,train,gutenberg,9186,5298,http://www.gutenberg.org/ebooks/13.txt.utf-8,https://www.gutenberg.org/ebooks/13.txt.utf-8,ok,new_synthetic_results/5k/adventure/the_hunting_of_the_snark
5k,fantasy,The Witch of Atlas,a21137785e9a0e86d9cefd3fda385199fd9da232,valid,gutenberg,9595,5547,http://www.gutenberg.org/ebooks/4696.txt.utf-8,https://www.gutenberg.org/ebooks/4696.txt.utf-8,ok,new_synthetic_results/5k/fantasy/the_witch_of_atlas
5k,sci_fi,A Pail of Air,befbd270ccb59942c487104978f95446867b1e94,train,gutenberg,10049,6032,http://www.gutenberg.org/ebooks/51461.txt.utf-8,https://www.gutenberg.org/ebooks/51461.txt.utf-8,ok,new_synthetic_results/5k/sci_fi/a_pail_of_air
10k,drama,Cavalleria rusticana,fbbfafdd97567ddaadc565e18ac617703e1fed66,train,gutenberg,15225,10207,http://www.gutenberg.org/files/48007/48007-0.txt,https://www.gutenberg.org/files/48007/48007-0.txt,ok,new_synthetic_results/10k/drama/cavalleria_rusticana
10k,mystery_crime,The Adventure of the Devil's Foot,9324c1f58c59e30247032dfa99ef564b7af92293,valid,gutenberg,14650,10106,http://www.gutenberg.org/ebooks/2349.txt.utf-8,https://www.gutenberg.org/ebooks/2349.txt.utf-8,ok,new_synthetic_results/10k/mystery_crime/the_adventure_of_the_devil_s_foot
10k,historical,The Inca of Perusalem,edb92e9d9fe05242da8ead459d53853c8815716b,valid,gutenberg,13545,8411,http://www.gutenberg.org/ebooks/3486.txt.utf-8,https://www.gutenberg.org/ebooks/3486.txt.utf-8,ok,new_synthetic_results/10k/historical/the_inca_of_perusalem
10k,romance,How He Lied to Her Husband,571556120960f1940d0aa86b07dab9f9be0ee182,train,gutenberg,13676,8791,http://www.gutenberg.org/ebooks/3544.txt.utf-8,https://www.gutenberg.org/ebooks/3544.txt.utf-8,ok,new_synthetic_results/10k/romance/how_he_lied_to_her_husband
10k,adventure,Queen of the Black Coast,4d64bda641788de51424d99f5f79393767abfac7,test,gutenberg,16396,11654,http://www.gutenberg.org/ebooks/42183.txt.utf-8,https://www.gutenberg.org/ebooks/42183.txt.utf-8,ok,new_synthetic_results/10k/adventure/queen_of_the_black_coast
10k,fantasy,The Canterville Ghost,634532a39b97cfa3270d6fea7e1502f45f210b50,train,gutenberg,16716,11870,http://www.gutenberg.org/ebooks/14522.txt.utf-8,https://www.gutenberg.org/ebooks/14522.txt.utf-8,ok,new_synthetic_results/10k/fantasy/the_canterville_ghost
10k,sci_fi,A Martian Odyssey,47b4955fca17af174e1a45b7ff981ce68f3625f8,train,gutenberg,15741,10732,http://www.gutenberg.org/ebooks/23731.txt.utf-8,https://www.gutenberg.org/ebooks/23731.txt.utf-8,ok,new_synthetic_results/10k/sci_fi/a_martian_odyssey
