length_bucket,genre,wiki_title,story_id,cleaned_word_count,renamed_word_count,word_count_delta,survivor_hit_count,surviving_terms,split_method,total_scenes,path
10k,adventure,Queen of the Black Coast,4d64bda641788de51424d99f5f79393767abfac7,11581,11581,0,0,,chapter_heading,5,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/10k/adventure/queen_of_the_black_coast
10k,drama,Cavalleria rusticana,fbbfafdd97567ddaadc565e18ac617703e1fed66,5315,5351,36,0,,chapter_heading,9,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/10k/drama/cavalleria_rusticana
10k,fantasy,The Canterville Ghost,634532a39b97cfa3270d6fea7e1502f45f210b50,11483,11483,0,0,,chapter_heading,7,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/10k/fantasy/the_canterville_ghost
10k,historical,The Inca of Perusalem,edb92e9d9fe05242da8ead459d53853c8815716b,7978,7977,-1,0,,heuristic,8,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/10k/historical/the_inca_of_perusalem
10k,mystery_crime,The Adventure of the Devil's Foot,9324c1f58c59e30247032dfa99ef564b7af92293,10085,10085,0,0,,heuristic,10,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/10k/mystery_crime/the_adventure_of_the_devil_s_foot
10k,romance,How He Lied to Her Husband,571556120960f1940d0aa86b07dab9f9be0ee182,6944,6943,-1,0,,heuristic,8,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/10k/romance/how_he_lied_to_her_husband
10k,sci_fi,A Martian Odyssey,47b4955fca17af174e1a45b7ff981ce68f3625f8,10660,10660,0,0,,heuristic,11,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/10k/sci_fi/a_martian_odyssey
15k,adventure,The Secret Sharer,7d47230b4497695daed8e532fdf42dff38131e91,16932,16934,2,0,,chapter_heading,2,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/15k/adventure/the_secret_sharer
15k,drama,Life in the Iron Mills,424b3b5481b6fa3c49c83f8c347e7ccac9ceb163,15230,15230,0,0,,heuristic,14,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/15k/drama/life_in_the_iron_mills
15k,fantasy,Peter Pan in Kensington Gardens,db50738d7cae3992d86212a129d743ba0838e65b,16090,16090,0,0,,heuristic,15,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/15k/fantasy/peter_pan_in_kensington_gardens
15k,historical,The Frogs,6fc88efa5357b958b072332a14efd3e33cf4e4c0,14517,14492,-25,0,,heuristic,14,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/15k/historical/the_frogs
15k,mystery_crime,The Black Cat (short story),a9ab2d4a8d0fa3eaca128e041a6619d652c2d824,13378,13378,0,0,,chapter_heading,9,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/15k/mystery_crime/the_black_cat
15k,romance,The New Paul and Virginia,6d3020e7252fb731314bad3522cd416af124a3f0,13574,13574,0,0,,chapter_heading,18,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/15k/romance/the_new_paul_and_virginia
15k,sci_fi,Second Variety,9225235e797e38d6177ba6e3a9ed63d06168bee2,15534,15536,2,0,,heuristic,15,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/15k/sci_fi/second_variety
5k,adventure,The Hunting of the Snark,a50e0b16f4c85587a6c89476c2f9f3ced9f4480c,4522,4523,1,0,,chapter_heading,8,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/5k/adventure/the_hunting_of_the_snark
5k,drama,The Yellow Wallpaper,ceb53c6e5f1f89d2f4d43a0d9fa53af7734fa1d4,6244,6244,0,0,,heuristic,8,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/5k/drama/the_yellow_wallpaper
5k,fantasy,The Witch of Atlas,a21137785e9a0e86d9cefd3fda385199fd9da232,5504,5507,3,0,,heuristic,8,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/5k/fantasy/the_witch_of_atlas
5k,historical,Apocolocyntosis,36f289475bb4ac89b368e999a9e911affcd070bf,5080,5080,0,0,,heuristic,7,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/5k/historical/apocolocyntosis
5k,mystery_crime,The Adventure of the Dying Detective,09333c7d604bd412e6aef5d3e56b046ed301c5e5,5891,5891,0,0,,heuristic,8,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/5k/mystery_crime/the_adventure_of_the_dying_detective
5k,romance,Chitra (play),e7598e595c6dd58166b88f92a5723e63f3d93b78,5910,5910,0,0,,chapter_heading,9,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/5k/romance/chitra
5k,sci_fi,A Pail of Air,befbd270ccb59942c487104978f95446867b1e94,5991,5992,1,0,,heuristic,8,/Users/muhammadh./Desktop/Personal/MAGNET-ATLAS/ATLAS/new_synthetic_results/5k/sci_fi/a_pail_of_air
